目录,题目类型,大题题干,小题题型,小题题干,正确答案,答案解析,难易度,知识点,标签,选项数,选项A,选项B,选项C,选项D,选项E,选项F,选项G,选项H,选项I,选项J,选项K,选项L,选项M,选项N,选项O,选项P,选项Q,选项R,选项S,选项T,选项U,选项V,选项W,选项X,选项Y,选项Z
/第一章/1.2.2 数据结构、逻辑结构和存储结构,多选题,利用顺序存储结构存储时，存储单元的地址( )，利用链式存储方式存储时，存储单元地址( )。 ,,,AC,,易,数据结构、逻辑结构和存储结构,,4,一定连续,一定不连续,不一定连续,部分连续，部分不连续,,,,,,,,,,,,,,,,,,,,,,
/第一章/1.2.2 数据结构、逻辑结构和存储结构,单选题,数据结构中，与所使用的计算机无关的是数据的( )结构。 ,,,A,,易,数据结构、逻辑结构和存储结构,,4,逻辑,存储,物理,物理和存储,,,,,,,,,,,,,,,,,,,,,,
/第一章/1.2.2 数据结构、逻辑结构和存储结构,单选题,数据在计算机内物理结构的相对位置与逻辑结构相同并且是连续的，称之为( )。,,,C,,易,数据结构、逻辑结构和存储结构,,4,存储结构,逻辑结构,顺序存储结构,链式存储结构,,,,,,,,,,,,,,,,,,,,,,
/第一章/1.2.2 数据结构、逻辑结构和存储结构,填空题,数据结构按逻辑结构可分为两大类，分别是____和____。,,,,,易,数据结构、逻辑结构和存储结构,,2,线性结构,非线性结构,,,,,,,,,,,,,,,,,,,,,,,,
/第一章/1.2.2 数据结构、逻辑结构和存储结构,判断题,顺序存储方式只能用于存储线性结构。,,,B,,易,数据结构、逻辑结构和存储结构,,2,正确,错误,,,,,,,,,,,,,,,,,,,,,,,,
/第一章/1.2.2 数据结构、逻辑结构和存储结构,判断题,数据结构是带结构的各数据项的集合。,,,B,,易,数据结构、逻辑结构和存储结构,,2,正确,错误,,,,,,,,,,,,,,,,,,,,,,,,
/第一章/1.2.2 数据结构、逻辑结构和存储结构,多选题,"利用顺序存储结构存储时，存储单元的地址（ ），利用链式存储方式存储时，存储单元地址（ ）。
",,,AC,,易,数据结构、逻辑结构和存储结构,,4,"一定连续
","一定不连续 
","不一定连续
","部分连续，部分不连续
",,,,,,,,,,,,,,,,,,,,,,
/第一章/1.2.2 数据结构、逻辑结构和存储结构,单选题,数据在计算机内物理结构的相对位置与逻辑结构相同并且是连续的，称之为()。,,,C,,易,数据结构、逻辑结构和存储结构,,4,存储结构,逻辑结构,顺序存储结构,链式存储结构,,,,,,,,,,,,,,,,,,,,,,
/第一章/1.2.2 数据结构、逻辑结构和存储结构,单选题,下述()是顺序存储结构的优点。,,,A,,易,数据结构、逻辑结构和存储结构,,4,存储密度大,插入运算方便,删除运算方便,可方便地用于各种逻辑结构的存储表示,,,,,,,,,,,,,,,,,,,,,,
/第一章/1.2.2 数据结构、逻辑结构和存储结构,单选题,以下数据结构中，( )是非线性数据结构。,,,B,,易,数据结构、逻辑结构和存储结构,,4,字符串,树,队,栈,,,,,,,,,,,,,,,,,,,,,,
/第一章/1.2.2 数据结构、逻辑结构和存储结构,多选题,以下数据结构中，( )是线性数据结构。,,,AC,,易,数据结构、逻辑结构和存储结构,,4,字符串,图,队列,树,,,,,,,,,,,,,,,,,,,,,,
/第一章/1.2.2 数据结构、逻辑结构和存储结构,填空题,数据的存储结构主要分为两类，分别是顺序存储结构和____存储结构。,,,,,易,数据结构、逻辑结构和存储结构,,1,链式 ,,,,,,,,,,,,,,,,,,,,,,,,,
/第一章/1.2.2 数据结构、逻辑结构和存储结构,单选题,以下不属于线性结构的是( )。,,,B,,易,数据结构、逻辑结构和存储结构,,4,线性表,树,队列,栈,,,,,,,,,,,,,,,,,,,,,,
/第一章/1.2.2 数据结构、逻辑结构和存储结构,单选题,在数据结构中，与所使用的计算机无关的数据结构是()。,,,B,,易,数据结构、逻辑结构和存储结构,,4,物理结构,逻辑结构,物理结构和逻辑结构,存储结构,,,,,,,,,,,,,,,,,,,,,,
/第一章/1.2.2 数据结构、逻辑结构和存储结构,判断题,数据的逻辑结构是指数据的各数据项之间的逻辑关系。,,,B,,易,数据结构、逻辑结构和存储结构,,2,正确,错误,,,,,,,,,,,,,,,,,,,,,,,,
/第一章/1.2.2 数据结构、逻辑结构和存储结构,单选题,数据的()包括集合、线性结构、树形结构和图形结构四种基本类型。,,,B,,易,数据结构、逻辑结构和存储结构,,4,存储结构,逻辑结构,基本运算,算法描述,,,,,,,,,,,,,,,,,,,,,,
/第一章/1.2.2 数据结构、逻辑结构和存储结构,单选题,数据在计算机内存中的表示是指( ) 。,,,A,,易,数据结构、逻辑结构和存储结构,,4,数据的存储结构,数据结构,数据的逻辑结构,数据元素之间的关系,,,,,,,,,,,,,,,,,,,,,,
/第一章/1.2.2 数据结构、逻辑结构和存储结构,单选题,下列关于数据的逻辑结构的叙述中，( )是正确的。,,,A,,易,数据结构、逻辑结构和存储结构,,4,数据的逻辑结构是数据元素间关系的描述,数据的逻辑结构反映了数据在计算机中的存储方式,数据的逻辑结构分为顺序结构和链式结构,数据的逻辑结构分为静态结构和动态结构,,,,,,,,,,,,,,,,,,,,,,
/第一章/1.2.2 数据结构、逻辑结构和存储结构,单选题,在数据结构中，与所使用的计算机无关的数据结构是( )。,,,A,,易,数据结构、逻辑结构和存储结构,,4,逻辑结构,存储结构,逻辑结构和存储结构,物理结构,,,,,,,,,,,,,,,,,,,,,,
/第一章/1.2.2 数据结构、逻辑结构和存储结构,单选题,在决定选取何种存储结构时，一般不考虑( )。,,,A,,易,数据结构、逻辑结构和存储结构,,4,各结点的值如何,结点个数的多少,对数据有哪些运算,所用编程语言实现这种结构是否方便,,,,,,,,,,,,,,,,,,,,,,
/第一章/1.2.2 数据结构、逻辑结构和存储结构,单选题,线性结构中元素之间存在()关系。,,,A,,易,数据结构、逻辑结构和存储结构,,4,一对一,一对多,多对多,多对一,,,,,,,,,,,,,,,,,,,,,,
/第一章/1.2.2 数据结构、逻辑结构和存储结构,单选题,树形结构中元素之间存在( )关系。,,,B,,易,数据结构、逻辑结构和存储结构,,4,一对一,一对多,多对多,多对一,,,,,,,,,,,,,,,,,,,,,,
/第一章/1.2.2 数据结构、逻辑结构和存储结构,单选题,图形结构中元素之间存在()关系。,,,C,,易,数据结构、逻辑结构和存储结构,,4,一对一,一对多,多对多,多对一,,,,,,,,,,,,,,,,,,,,,,
/第一章/1.2.2 数据结构、逻辑结构和存储结构,单选题,从物理存储上可以把数据结构分为 ( ),,,B,,易,数据结构、逻辑结构和存储结构,,4,动态结构、静态结构,顺序结构、链式结构,线性结构、树形结构、图形结构和集合结构,基本结构、构造型结构,,,,,,,,,,,,,,,,,,,,,,
/第一章/1.2.2 数据结构、逻辑结构和存储结构,单选题,在数据结构中，从逻辑上可以把数据结构分成( )。,,,C,,易,数据结构、逻辑结构和存储结构,,4,动态结构和静态结构,紧凑结构和非紧凑结构,线性结构和非线性结构,内部结构和外部结构,,,,,,,,,,,,,,,,,,,,,,
/第一章/1.2.2 数据结构、逻辑结构和存储结构,单选题,与数据元素本身的形式、内容、相对位置、个数无关的是数据的( )。,,,C,,易,数据结构、逻辑结构和存储结构,,4,存储结构,存储实现,逻辑结构,运算实现,,,,,,,,,,,,,,,,,,,,,,
/第一章/1.2.2 数据结构、逻辑结构和存储结构,简答题,"画图并说明逻辑结构的不同类型
",,,A,,易,数据结构、逻辑结构和存储结构,,1,"通常有下列四类基本的逻辑结构，如图所示。
         

(a) 集合结构        (b) 线性结构            (c) 树结构             (d)图结构

(1)集合。在集合中，数据元素间的关系是属于同一个集合，别无其他关系。集合是元素关系极为松散的一种结构。
(2)线性结构。在线性结构中，数据元素的直接前驱和直接后继之间存在着一对一的关系。
(3)树形结构。在树形结构中，数据元素的前驱和后继之间存在着一对多的关系。
(4)图状结构。在图状结构中，数据元素的前驱和后继之间存在着多对多的关系，图状结构也称作网状结构。
其中集合结构、树结构和图结构都属于非线性结构。

",,,,,,,,,,,,,,,,,,,,,,,,,
/第一章/1.2.2 数据结构、逻辑结构和存储结构,简答题,存储结构的两种不同方法的具体含义是什么,,,A,,中,数据结构、逻辑结构和存储结构,,1,"数据元素在计算机中有两种基本的存储结构，分别是顺序存储结构和链式存储结构。顺序存储结构是借助数据元素在存储器中的相对位置来表示数据之间的逻辑关系，由此得到的存储结构称为顺序存储结构。顺序存储结构是一种最基本的存储方式，顺序存储结构要求所有的元素依次存放在一片连续的存储空间中，通常借助于程序设计语言中的数组实现。
而链式存储结构，无需占用一整块存储空间，它是借助指示元素存储地址的指针来表示数据元素之间的逻辑关系，因此除了存储数据所必需的空间外，需要附设空间开辟一个指针字段，用于存放后继元素的存储地址，由此得到的存储结构称为链式存储结构。在链式存储结构中，即使逻辑相邻的元素也不要求其物理位置相邻，显然，链式存储结构通常借助于程序设计语言中的指针类型实现。
",,,,,,,,,,,,,,,,,,,,,,,,,
/第一章/1.2.2 数据结构、逻辑结构和存储结构,填空题,数据的存储结构主要分为两类，分别是顺序存储结构和   存储结构。,,,,,易,数据结构、逻辑结构和存储结构,,1,链式,,,,,,,,,,,,,,,,,,,,,,,,,
/第一章/1.2.2 数据结构、逻辑结构和存储结构,判断题,"数据的逻辑结构是指数据的各数据项之间的逻辑关系。
",,,B,,易,数据结构、逻辑结构和存储结构,,2,正确,错误,,,,,,,,,,,,,,,,,,,,,,,,
/第一章/1.2.2 数据结构、逻辑结构和存储结构,单选题,"数据的（）包括集合、线性结构、树形结构和图形结构四种基本类型。
",,,B,,易,数据结构、逻辑结构和存储结构,,4,存储结构,逻辑结构,基本运算,算法描述,,,,,,,,,,,,,,,,,,,,,,
/第一章/1.2.2 数据结构、逻辑结构和存储结构,单选题,下列关于数据的逻辑结构的叙述中，（）是正确的。,,,A,,易,数据结构、逻辑结构和存储结构,,4,数据的逻辑结构是数据元素间关系的描述,数据的逻辑结构反映了数据在计算机中的存储方式,数据的逻辑结构分为顺序结构和链式结构,数据的逻辑结构分为静态结构和动态结构,,,,,,,,,,,,,,,,,,,,,,
/第一章/1.2.2 数据结构、逻辑结构和存储结构,单选题,在数据结构中，与所使用的计算机无关的数据结构是（）。,,,A,,易,数据结构、逻辑结构和存储结构,,4, 逻辑结构,存储结构,逻辑结构和存储结构,物理结构,,,,,,,,,,,,,,,,,,,,,,
/第一章/1.2.2 数据结构、逻辑结构和存储结构,单选题,在决定选取何种存储结构时，一般不考虑（）。,,,A,,易,数据结构、逻辑结构和存储结构,,4,各结点的值如何,结点个数的多少,对数据有哪些运算,所用编程语言实现这种结构是否方便,,,,,,,,,,,,,,,,,,,,,,
/第一章/1.2.2 数据结构、逻辑结构和存储结构,单选题,线性结构中元素之间存在（）关系。,,,A,,易,数据结构、逻辑结构和存储结构,,4,一对一,一对多,多对多,多对一,,,,,,,,,,,,,,,,,,,,,,
/第一章/1.2.2 数据结构、逻辑结构和存储结构,单选题,树形结构中元素之间存在（）关系。,,,B,,易,数据结构、逻辑结构和存储结构,,4,一对一,一对多,多对多,多对一,,,,,,,,,,,,,,,,,,,,,,
/第一章/1.2.2 数据结构、逻辑结构和存储结构,单选题,图形结构中元素之间存在（）关系。,,,C,,易,数据结构、逻辑结构和存储结构,,4,一对一,一对多,多对多,多对一,,,,,,,,,,,,,,,,,,,,,,
/第一章/1.2.2 数据结构、逻辑结构和存储结构,单选题,从物理存储上可以把数据结构分为,,,B,,易,数据结构、逻辑结构和存储结构,,4,动态结构、静态结构,顺序结构、链式结构,线性结构、树形结构、图形结构和集合结构,基本结构、构造型结构,,,,,,,,,,,,,,,,,,,,,,
/第一章/1.2.2 数据结构、逻辑结构和存储结构,单选题,在数据结构中，从逻辑上可以把数据结构分成（ ）。,,,C,,易,数据结构、逻辑结构和存储结构,,4,动态结构和静态结构,紧凑结构和非紧凑结构,线性结构和非线性结构,内部结构和外部结构,,,,,,,,,,,,,,,,,,,,,,
/第一章/1.2.2 数据结构、逻辑结构和存储结构,单选题,与数据元素本身的形式、内容、相对位置、个数无关的是数据的（ ）。,,,C,,易,数据结构、逻辑结构和存储结构,,4,存储结构,存储实现,逻辑结构,运算实现,,,,,,,,,,,,,,,,,,,,,,
/第一章/1.2.2 数据结构、逻辑结构和存储结构,简答题,"简述下列概念： 数据结构、逻辑结构、存储结构 
",,,A,,易,数据结构、逻辑结构和存储结构,,1,"数据结构：相互之间存在一种或多种特定关系的数据元素的集合。一般包括三个方面的内容：数据的逻辑结构、存储结构和数据的运算。
逻辑结构：指数据元素之间的逻辑关系。
存储结构：数据元素及其关系在计算机存储器内的表示。",,,,,,,,,,,,,,,,,,,,,,,,,
/第一章/1.2.2 数据结构、逻辑结构和存储结构,填空题,"
数据结构中，与所使用的计算机无关的是数据的 [填空1] 结构，有关的是 [填空2]结构，或者叫[填空3]结构。

",,,,,易,数据结构、逻辑结构和存储结构,,3,逻辑,物理；存储,存储；物理,,,,,,,,,,,,,,,,,,,,,,,
/第一章/1.3.3.2 时间复杂度,填空题,分析下面程序段的时间复杂度，并写出每条语句的频度。 ____ x=0; ____ for(i=1; i&lt;n; i++) ____    for (j=1; j&lt;=n-i; j++) ____        x++; ____ 时间复杂度,,,,,易,频度;时间复杂度,,5,1,n,(n-1)(n+2)/2; (n+2)(n-1)/2 ；  n(n+1)/2-1, n(n-1)/2,O(n*n),,,,,,,,,,,,,,,,,,,,,
/第一章/1.3.3.2 时间复杂度,单选题,下面程序段的时间复杂度为()。for(int i=0; i&lt;m; i++)for(int j=0; j&lt;n; j++) a[i][j]=i*j;,,,C,,易,时间复杂度,,4,O(),O(),O(m*n),O(m+n),,,,,,,,,,,,,,,,,,,,,,
/第一章/1.3.3.2 时间复杂度,单选题,下面程序段的时间复杂度为( )s=0;for( i=1; i&lt;n; i++ ) for ( j=1; j&lt;=n-i; j++ )  s=s+i*j;,,,B,,易,时间复杂度,,4,O(n),O(),O(),O(),,,,,,,,,,,,,,,,,,,,,,
/第一章/1.3.3.2 时间复杂度,填空题,"分析下面各程序段的时间复杂度及每行语句的频度

for (i=0；i&lt;n； i++)
     for (j=0； j&lt;m； j++)
        A[i][j]=0；
时间复杂度（   ） 语句1 （   ）  语句2 （   ） 语句3（   ）
",,,,,中,频度;时间复杂度,,4,O(m*n),n+ 1,n*(m+1),m*n,,,,,,,,,,,,,,,,,,,,,,
/第一章/1.3.3.2 时间复杂度,填空题,"分析下面各程序段的时间复杂度及每行语句的频度

x=0；
for(i=1； i&lt;n； i++)
      for (j=1； j&lt;=n-i； j++)
        x++；
时间复杂度（   ） 语句1 （   ）  语句2 （   ） 语句3（   ）语句4（   ）
",,,,,中,频度;时间复杂度,,5,O() ,1,n,(n+2)(n-1)/2   ；(n-1)(n+2)/2   ；n(n+1)/2-1；  (n(n+1)/2)-1, n(n-1)/2 ,,,,,,,,,,,,,,,,,,,,,
/第一章/1.3.3.2 时间复杂度,填空题," 分析下面各程序段的时间复杂度及每行语句的频度

i=1； j=0；
   while(i+j&lt;=n)
       if (i&gt;j) j++；
 else i++；
时间复杂度（   ） 语句1 （   ）  语句2 （   ） 语句3（   ）语句4（   ）
",,,,,中,频度;时间复杂度,,5,O(n),1, n+1,n,,,,,,,,,,,,,,,,,,,,,,
/第一章/1.3.3.2 时间复杂度,填空题,"分析下面各程序段的时间复杂度及每行语句的频度

k=1；h=0；
for(i=1； i&lt;=n； i++)
  {
      k++；
      for (j=1； j&lt;=n； j++)
         h+=k；
   }
时间复杂度（   ） 语句1 （   ）  语句2 （   ） 语句3（   ）语句4（   ）语句5（   ）
",,,,,中,频度;时间复杂度,,6,O() ,1,n+1,n,n*(n+1),n*n,,,,,,,,,,,,,,,,,,,,
/第一章/1.3.3.2 时间复杂度,单选题,"下面程序段的时间复杂度为（ ）
x=0;  
for( i=1; i&lt;n; i++ )  
  for ( j=1; j&lt;=n-i; j++ )  
    x++;
",,,B,,易,时间复杂度,,4,O(n),O(),O(),O(),,,,,,,,,,,,,,,,,,,,,,
/第一章/1.3.3.2 时间复杂度,单选题,假设某算法的运行时间为 ，则其时间复杂度为：,,,C,在大O表示法中，我们只关心最高次幂的项，因此此表达式的时间复杂度为 。,中,案例导学2——算法时间效率的评价,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
/第一章/1.2.1 数据、数据元素、数据项和数据对象,填空题,"数据结构被形式地定义为(D, R)，其中D是____的有限集合，R是D上的____的有限集合。 ",,,,,易,数据、数据元素、数据项和数据对象,,2,数据元素,关系,,,,,,,,,,,,,,,,,,,,,,,,
